Location,Year,Month,Rainfall
Adelaide,2008,7,72.2
Adelaide,2008,8,84.8
Adelaide,2008,9,16.0
Adelaide,2008,10,8.0
Adelaide,2008,11,13.8
Adelaide,2008,12,40.400000000000006
Adelaide,2009,1,1.2
Adelaide,2009,2,0.8
Adelaide,2009,3,21.4
Adelaide,2009,4,73.60000000000001
Adelaide,2009,5,63.0
Adelaide,2009,6,52.0
Adelaide,2009,7,109.0
Adelaide,2009,8,55.800000000000004
Adelaide,2009,9,61.599999999999994
Adelaide,2009,10,18.400000000000002
Adelaide,2009,11,42.2
Adelaide,2009,12,18.2
Adelaide,2010,1,9.2
Adelaide,2010,2,5.6
Adelaide,2010,3,19.0
Adelaide,2010,4,49.6
Adelaide,2010,5,56.8
Adelaide,2010,6,65.8
Adelaide,2010,7,59.800000000000004
Adelaide,2010,8,115.2
Adelaide,2010,9,72.2
Adelaide,2010,10,29.2
Adelaide,2010,11,23.2
Adelaide,2010,12,87.0
Adelaide,2011,1,17.4
Adelaide,2011,2,43.199999999999996
Adelaide,2011,3,81.8
Adelaide,2011,5,61.8
Adelaide,2011,6,37.199999999999996
Adelaide,2011,7,61.4
Adelaide,2011,8,92.4
Adelaide,2011,9,46.8
Adelaide,2011,10,42.599999999999994
Adelaide,2011,11,25.2
Adelaide,2011,12,18.2
Adelaide,2012,1,18.0
Adelaide,2012,2,25.0
Adelaide,2012,3,64.2
Adelaide,2012,4,27.0
Adelaide,2012,5,62.400000000000006
Adelaide,2012,6,126.4
Adelaide,2012,7,66.2
Adelaide,2012,8,68.0
Adelaide,2012,9,21.8
Adelaide,2012,10,20.0
Adelaide,2012,11,17.4
Adelaide,2013,1,11.6
Adelaide,2013,3,19.6
Adelaide,2013,4,33.2
Adelaide,2013,5,54.8
Adelaide,2013,6,76.39999999999999
Adelaide,2013,7,119.2
Adelaide,2013,8,84.4
Adelaide,2013,9,42.6
Adelaide,2013,10,32.4
Adelaide,2013,11,5.2
Adelaide,2013,12,16.2
Adelaide,2014,1,10.2
Adelaide,2014,2,98.2
Adelaide,2014,3,19.0
Adelaide,2014,4,50.6
Adelaide,2014,5,64.39999999999999
Adelaide,2014,6,104.2
Adelaide,2014,7,99.6
Adelaide,2014,8,20.8
Adelaide,2014,9,31.4
Adelaide,2014,10,5.0
Adelaide,2014,11,24.4
Adelaide,2014,12,6.4
Adelaide,2015,1,41.6
Adelaide,2015,2,0.6
Adelaide,2015,3,2.4
Adelaide,2015,4,57.400000000000006
Adelaide,2015,5,71.8
Adelaide,2015,6,15.4
Adelaide,2015,7,73.6
Adelaide,2015,8,48.4
Adelaide,2015,9,52.2
Adelaide,2015,10,9.0
Adelaide,2015,11,9.8
Adelaide,2015,12,13.0
Adelaide,2016,1,52.800000000000004
Adelaide,2016,2,18.4
Adelaide,2016,3,53.800000000000004
Adelaide,2016,4,9.6
Adelaide,2016,5,88.0
Adelaide,2016,6,95.2
Adelaide,2016,7,112.0
Adelaide,2016,8,58.8
Adelaide,2016,9,131.2
Adelaide,2016,10,81.0
Adelaide,2016,11,33.199999999999996
