Location,Year,Month
Adelaide,2008,1
Adelaide,2008,2
Adelaide,2008,3
Adelaide,2008,4
Adelaide,2008,5
Adelaide,2008,6
Adelaide,2008,7
Adelaide,2008,8
Adelaide,2008,9
Adelaide,2008,10
Adelaide,2008,11
Adelaide,2008,12
Adelaide,2009,1
Adelaide,2009,2
Adelaide,2009,3
Adelaide,2009,4
Adelaide,2009,5
Adelaide,2009,6
Adelaide,2009,7
Adelaide,2009,8
Adelaide,2009,9
Adelaide,2009,10
Adelaide,2009,11
Adelaide,2009,12
Adelaide,2010,1
Adelaide,2010,2
Adelaide,2010,3
Adelaide,2010,4
Adelaide,2010,5
Adelaide,2010,6
Adelaide,2010,7
Adelaide,2010,8
Adelaide,2010,9
Adelaide,2010,10
Adelaide,2010,11
Adelaide,2010,12
Adelaide,2011,1
Adelaide,2011,2
Adelaide,2011,3
Adelaide,2011,4
Adelaide,2011,5
Adelaide,2011,6
Adelaide,2011,7
Adelaide,2011,8
Adelaide,2011,9
Adelaide,2011,10
Adelaide,2011,11
Adelaide,2011,12
Adelaide,2012,1
Adelaide,2012,2
Adelaide,2012,3
Adelaide,2012,4
Adelaide,2012,5
Adelaide,2012,6
Adelaide,2012,7
Adelaide,2012,8
Adelaide,2012,9
Adelaide,2012,10
Adelaide,2012,11
Adelaide,2012,12
Adelaide,2013,1
Adelaide,2013,2
Adelaide,2013,3
Adelaide,2013,4
Adelaide,2013,5
Adelaide,2013,6
Adelaide,2013,7
Adelaide,2013,8
Adelaide,2013,9
Adelaide,2013,10
Adelaide,2013,11
Adelaide,2013,12
Adelaide,2014,1
Adelaide,2014,2
Adelaide,2014,3
Adelaide,2014,4
Adelaide,2014,5
Adelaide,2014,6
Adelaide,2014,7
Adelaide,2014,8
Adelaide,2014,9
Adelaide,2014,10
Adelaide,2014,11
Adelaide,2014,12
Adelaide,2015,1
Adelaide,2015,2
Adelaide,2015,3
Adelaide,2015,4
Adelaide,2015,5
Adelaide,2015,6
Adelaide,2015,7
Adelaide,2015,8
Adelaide,2015,9
Adelaide,2015,10
Adelaide,2015,11
Adelaide,2015,12
Adelaide,2016,1
Adelaide,2016,2
Adelaide,2016,3
Adelaide,2016,4
Adelaide,2016,5
Adelaide,2016,6
Adelaide,2016,7
Adelaide,2016,8
Adelaide,2016,9
Adelaide,2016,10
Adelaide,2016,11
Adelaide,2016,12
Adelaide,2017,1
Adelaide,2017,2
Adelaide,2017,3
Adelaide,2017,4
Adelaide,2017,5
Adelaide,2017,6
Adelaide,2017,7
Adelaide,2017,8
Adelaide,2017,9
Adelaide,2017,10
Adelaide,2017,11
Adelaide,2017,12
Adelaide,2007,1
Adelaide,2007,2
Adelaide,2007,3
Adelaide,2007,4
Adelaide,2007,5
Adelaide,2007,6
Adelaide,2007,7
Adelaide,2007,8
Adelaide,2007,9
Adelaide,2007,10
Adelaide,2007,11
Adelaide,2007,12
Albany,2008,1
Albany,2008,2
Albany,2008,3
Albany,2008,4
Albany,2008,5
Albany,2008,6
Albany,2008,7
Albany,2008,8
Albany,2008,9
Albany,2008,10
Albany,2008,11
Albany,2008,12
Albany,2009,1
Albany,2009,2
Albany,2009,3
Albany,2009,4
Albany,2009,5
Albany,2009,6
Albany,2009,7
Albany,2009,8
Albany,2009,9
Albany,2009,10
Albany,2009,11
Albany,2009,12
Albany,2010,1
Albany,2010,2
Albany,2010,3
Albany,2010,4
Albany,2010,5
Albany,2010,6
Albany,2010,7
Albany,2010,8
Albany,2010,9
Albany,2010,10
Albany,2010,11
Albany,2010,12
Albany,2011,1
Albany,2011,2
Albany,2011,3
Albany,2011,4
Albany,2011,5
Albany,2011,6
Albany,2011,7
Albany,2011,8
Albany,2011,9
Albany,2011,10
Albany,2011,11
Albany,2011,12
Albany,2012,1
Albany,2012,2
Albany,2012,3
Albany,2012,4
Albany,2012,5
Albany,2012,6
Albany,2012,7
Albany,2012,8
Albany,2012,9
Albany,2012,10
Albany,2012,11
Albany,2012,12
Albany,2013,1
Albany,2013,2
Albany,2013,3
Albany,2013,4
Albany,2013,5
Albany,2013,6
Albany,2013,7
Albany,2013,8
Albany,2013,9
Albany,2013,10
Albany,2013,11
Albany,2013,12
Albany,2014,1
Albany,2014,2
Albany,2014,3
Albany,2014,4
Albany,2014,5
Albany,2014,6
Albany,2014,7
Albany,2014,8
Albany,2014,9
Albany,2014,10
Albany,2014,11
Albany,2014,12
Albany,2015,1
Albany,2015,2
Albany,2015,3
Albany,2015,4
Albany,2015,5
Albany,2015,6
Albany,2015,7
Albany,2015,8
Albany,2015,9
Albany,2015,10
Albany,2015,11
Albany,2015,12
Albany,2016,1
Albany,2016,2
Albany,2016,3
Albany,2016,4
Albany,2016,5
Albany,2016,6
Albany,2016,7
Albany,2016,8
Albany,2016,9
Albany,2016,10
Albany,2016,11
Albany,2016,12
Albany,2017,1
Albany,2017,2
Albany,2017,3
Albany,2017,4
Albany,2017,5
Albany,2017,6
Albany,2017,7
Albany,2017,8
Albany,2017,9
Albany,2017,10
Albany,2017,11
Albany,2017,12
Albany,2007,1
Albany,2007,2
Albany,2007,3
Albany,2007,4
Albany,2007,5
Albany,2007,6
Albany,2007,7
Albany,2007,8
Albany,2007,9
Albany,2007,10
Albany,2007,11
Albany,2007,12
Albury,2008,1
Albury,2008,2
Albury,2008,3
Albury,2008,4
Albury,2008,5
Albury,2008,6
Albury,2008,7
Albury,2008,8
Albury,2008,9
Albury,2008,10
Albury,2008,11
Albury,2008,12
Albury,2009,1
Albury,2009,2
Albury,2009,3
Albury,2009,4
Albury,2009,5
Albury,2009,6
Albury,2009,7
Albury,2009,8
Albury,2009,9
Albury,2009,10
Albury,2009,11
Albury,2009,12
Albury,2010,1
Albury,2010,2
Albury,2010,3
Albury,2010,4
Albury,2010,5
Albury,2010,6
Albury,2010,7
Albury,2010,8
Albury,2010,9
Albury,2010,10
Albury,2010,11
Albury,2010,12
Albury,2011,1
Albury,2011,2
Albury,2011,3
Albury,2011,4
Albury,2011,5
Albury,2011,6
Albury,2011,7
Albury,2011,8
Albury,2011,9
Albury,2011,10
Albury,2011,11
Albury,2011,12
Albury,2012,1
Albury,2012,2
Albury,2012,3
Albury,2012,4
Albury,2012,5
Albury,2012,6
Albury,2012,7
Albury,2012,8
Albury,2012,9
Albury,2012,10
Albury,2012,11
Albury,2012,12
Albury,2013,1
Albury,2013,2
Albury,2013,3
Albury,2013,4
Albury,2013,5
Albury,2013,6
Albury,2013,7
Albury,2013,8
Albury,2013,9
Albury,2013,10
Albury,2013,11
Albury,2013,12
Albury,2014,1
Albury,2014,2
Albury,2014,3
Albury,2014,4
Albury,2014,5
Albury,2014,6
Albury,2014,7
Albury,2014,8
Albury,2014,9
Albury,2014,10
Albury,2014,11
Albury,2014,12
Albury,2015,1
Albury,2015,2
Albury,2015,3
Albury,2015,4
Albury,2015,5
Albury,2015,6
Albury,2015,7
Albury,2015,8
Albury,2015,9
Albury,2015,10
Albury,2015,11
Albury,2015,12
Albury,2016,1
Albury,2016,2
Albury,2016,3
Albury,2016,4
Albury,2016,5
Albury,2016,6
Albury,2016,7
Albury,2016,8
Albury,2016,9
Albury,2016,10
Albury,2016,11
Albury,2016,12
Albury,2017,1
Albury,2017,2
Albury,2017,3
Albury,2017,4
Albury,2017,5
Albury,2017,6
Albury,2017,7
Albury,2017,8
Albury,2017,9
Albury,2017,10
Albury,2017,11
Albury,2017,12
Albury,2007,1
Albury,2007,2
Albury,2007,3
Albury,2007,4
Albury,2007,5
Albury,2007,6
Albury,2007,7
Albury,2007,8
Albury,2007,9
Albury,2007,10
Albury,2007,11
Albury,2007,12
Alice Springs,2008,1
Alice Springs,2008,2
Alice Springs,2008,3
Alice Springs,2008,4
Alice Springs,2008,5
Alice Springs,2008,6
Alice Springs,2008,7
Alice Springs,2008,8
Alice Springs,2008,9
Alice Springs,2008,10
Alice Springs,2008,11
Alice Springs,2008,12
Alice Springs,2009,1
Alice Springs,2009,2
Alice Springs,2009,3
Alice Springs,2009,4
Alice Springs,2009,5
Alice Springs,2009,6
Alice Springs,2009,7
Alice Springs,2009,8
Alice Springs,2009,9
Alice Springs,2009,10
Alice Springs,2009,11
Alice Springs,2009,12
Alice Springs,2010,1
Alice Springs,2010,2
Alice Springs,2010,3
Alice Springs,2010,4
Alice Springs,2010,5
Alice Springs,2010,6
Alice Springs,2010,7
Alice Springs,2010,8
Alice Springs,2010,9
Alice Springs,2010,10
Alice Springs,2010,11
Alice Springs,2010,12
Alice Springs,2011,1
Alice Springs,2011,2
Alice Springs,2011,3
Alice Springs,2011,4
Alice Springs,2011,5
Alice Springs,2011,6
Alice Springs,2011,7
Alice Springs,2011,8
Alice Springs,2011,9
Alice Springs,2011,10
Alice Springs,2011,11
Alice Springs,2011,12
Alice Springs,2012,1
Alice Springs,2012,2
Alice Springs,2012,3
Alice Springs,2012,4
Alice Springs,2012,5
Alice Springs,2012,6
Alice Springs,2012,7
Alice Springs,2012,8
Alice Springs,2012,9
Alice Springs,2012,10
Alice Springs,2012,11
Alice Springs,2012,12
Alice Springs,2013,1
Alice Springs,2013,2
Alice Springs,2013,3
Alice Springs,2013,4
Alice Springs,2013,5
Alice Springs,2013,6
Alice Springs,2013,7
Alice Springs,2013,8
Alice Springs,2013,9
Alice Springs,2013,10
Alice Springs,2013,11
Alice Springs,2013,12
Alice Springs,2014,1
Alice Springs,2014,2
Alice Springs,2014,3
Alice Springs,2014,4
Alice Springs,2014,5
Alice Springs,2014,6
Alice Springs,2014,7
Alice Springs,2014,8
Alice Springs,2014,9
Alice Springs,2014,10
Alice Springs,2014,11
Alice Springs,2014,12
Alice Springs,2015,1
Alice Springs,2015,2
Alice Springs,2015,3
Alice Springs,2015,4
Alice Springs,2015,5
Alice Springs,2015,6
Alice Springs,2015,7
Alice Springs,2015,8
Alice Springs,2015,9
Alice Springs,2015,10
Alice Springs,2015,11
Alice Springs,2015,12
Alice Springs,2016,1
Alice Springs,2016,2
Alice Springs,2016,3
Alice Springs,2016,4
Alice Springs,2016,5
Alice Springs,2016,6
Alice Springs,2016,7
Alice Springs,2016,8
Alice Springs,2016,9
Alice Springs,2016,10
Alice Springs,2016,11
Alice Springs,2016,12
Alice Springs,2017,1
Alice Springs,2017,2
Alice Springs,2017,3
Alice Springs,2017,4
Alice Springs,2017,5
Alice Springs,2017,6
Alice Springs,2017,7
Alice Springs,2017,8
Alice Springs,2017,9
Alice Springs,2017,10
Alice Springs,2017,11
Alice Springs,2017,12
Alice Springs,2007,1
Alice Springs,2007,2
Alice Springs,2007,3
Alice Springs,2007,4
Alice Springs,2007,5
Alice Springs,2007,6
Alice Springs,2007,7
Alice Springs,2007,8
Alice Springs,2007,9
Alice Springs,2007,10
Alice Springs,2007,11
Alice Springs,2007,12
Badgerys Creek,2008,1
Badgerys Creek,2008,2
Badgerys Creek,2008,3
Badgerys Creek,2008,4
Badgerys Creek,2008,5
Badgerys Creek,2008,6
Badgerys Creek,2008,7
Badgerys Creek,2008,8
Badgerys Creek,2008,9
Badgerys Creek,2008,10
Badgerys Creek,2008,11
Badgerys Creek,2008,12
Badgerys Creek,2009,1
Badgerys Creek,2009,2
Badgerys Creek,2009,3
Badgerys Creek,2009,4
Badgerys Creek,2009,5
Badgerys Creek,2009,6
Badgerys Creek,2009,7
Badgerys Creek,2009,8
Badgerys Creek,2009,9
Badgerys Creek,2009,10
Badgerys Creek,2009,11
Badgerys Creek,2009,12
Badgerys Creek,2010,1
Badgerys Creek,2010,2
Badgerys Creek,2010,3
Badgerys Creek,2010,4
Badgerys Creek,2010,5
Badgerys Creek,2010,6
Badgerys Creek,2010,7
Badgerys Creek,2010,8
Badgerys Creek,2010,9
Badgerys Creek,2010,10
Badgerys Creek,2010,11
Badgerys Creek,2010,12
Badgerys Creek,2011,1
Badgerys Creek,2011,2
Badgerys Creek,2011,3
Badgerys Creek,2011,4
Badgerys Creek,2011,5
Badgerys Creek,2011,6
Badgerys Creek,2011,7
Badgerys Creek,2011,8
Badgerys Creek,2011,9
Badgerys Creek,2011,10
Badgerys Creek,2011,11
Badgerys Creek,2011,12
Badgerys Creek,2012,1
Badgerys Creek,2012,2
Badgerys Creek,2012,3
Badgerys Creek,2012,4
Badgerys Creek,2012,5
Badgerys Creek,2012,6
Badgerys Creek,2012,7
Badgerys Creek,2012,8
Badgerys Creek,2012,9
